SIPRA	BLOCO	OUTRASPARCELAS
MF0231000	III	5
MF0241000	III	5
MF0309000	III	4
MF0207000	III	3
MF0184000	III	3
MF0291000	III	3
MF0290000	III	3
MF0275000	III	5
MF0100000	III	4
MF0206000	III	3
MF0267000	III	4
MF0259000	III	1
MF0302000	III	3
MF0299000	III	2
MF0169000	III	3
MF0083000	III	4
MF0339000	III	3
MF0199000	III	3
MF0172000	III	3
MF0135000	III	4
MF0285000	III	2
MF0303000	III	3
MF0311000	III	3
MF0287000	III	4
MF0198000	III	5
MF0075000	III	3
MF0229000	III	3
MF0237000	I	4
MF0171000	I	3
MF0274000	I	4
MF0252000	I	2
MF0084000	I	2
MF0079000	I	3
MF0182000	I	4
MF0211000	I	3
MF0155000	I	3
MF0185000	I	3
MF0140000	I	2
MF0138000	I	3
MF0165000	I	3
MF0162000	I	4
MF0279000	I	4
MF0120000	I	7
MF0186000	I	3
MF0096000	II	3
MF0131000	II	3
MF0057000	II	2
MF0276000	II	1
MF0173000	II	2
MF0168000	II	3
MF0294000	II	2
MF0158000	II	2
