gid,contador,cd_sipra,modalid,nomeproj,fase,capacid,benefic,imov_orige,ccir,sr,sr_n,uf,regiao,mesoregiao,microregia,municipi,geocodigo,tipo_cr,num_cr,data_obt,forma_obt,area_obt,area_pro,geo_exec,num_certif,area_calc,AGORA VAI_,Vertices
4932,1,MF0075000,PA,PA SAO PAULO,4.00,20.00,20.00,FAZENDA TRANQUEIRA,2230850684386,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,PETROLINA,PETROLINA,2611101,POR,4.00,2003/03/11,DESAPROPRIACAO,352.66590,352.66590,,,352.6592,III,
4226,2,MF0285000,PA,PA NOVA ESPERANCA II,3.00,22.00,22.00,FAZENDA CALUMBI,2210400001911,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,ARARIPINA,GRANITO,2606309,POR,19.00,2009/12/04,DESAPROPRIACAO,993.16880,993.16880,,,994.8159,III,
4699,11,MF0173000,PA,PA CARNAUBA DO AJUDANTE,3.00,11.00,11.00,FAZENDA CARNAUBA DO AJUDANTE,2241110357189,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,PAJEU,SERRA TALHADA,2613909,POR,14.00,2006/08/16,DESAPROPRIACAO,347.01080,347.01080,,,347.9472,II,
4715,15,MF0303000,PA,PA PATATIVA DO ASSARE,4.00,32.00,32.00,FAZENDA PATOS,,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,ARARIPINA,OURICURI,2609907,POR,19.00,2004/12/22,DESAPROPRIACAO,650.00000,650.00000,,,789.3140,III,
4906,17,MF0259000,PA,PA IRMA DOROTHY,3.00,14.00,12.00,FAZENDA COROCOÃ?O / CAIXA PREGO,2210400068072,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SALGUEIRO,SERRITA,2614006,POR,12.00,2008/07/17,DESAPROPRIACAO,189.38540,189.38540,,,235.2860,III,
4227,21,MF0276000,PA,PA BOA VISTA,3.00,8.00,8.00,FAZENDA BOA VISTA,2241110305898,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,PAJEU,SERRA TALHADA,2613909,POR,33.00,2008/11/06,ADJUDICACAO,205.15900,205.15900,,,219.4301,II,
4151,26,MF0339000,PA,PA LOPES,3.00,24.00,24.00,FAZENDA LOPES - SITIO FORQUILHA,,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,ARARIPINA,OURICURI,2609907,POR,57.00,2005/12/02,DESAPROPRIACAO,1128.73860,1128.73860,,,1128.7479,III,
4736,31,MF0229000,PA,PA VALERIANO DIAS,3.00,69.00,68.00,BARRAGEM ENTREMONTES - A. REMANESCENTE,9500840725249,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SALGUEIRO,PARNAMIRIM,2610400,POR,21.00,2007/05/11,DOACAO,919.64750,919.64750,,,919.6575,III,
4929,32,MF0168000,PA,PA GILVAN SANTOS,3.00,40.00,38.00,FAZENDA N. S. DAS DORES,2241110317985,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,PAJEU,SERRA TALHADA,2613909,POR,6.00,2006/04/05,DESAPROPRIACAO,1008.09690,1008.09690,,,1008.1055,II,
4693,37,MF0172000,PA,PA MAE MARIANA,3.00,30.00,30.00,FAZENDA MOCO,,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,ARARIPINA,SANTA CRUZ,2612455,POR,12.00,2006/07/01,ARRECADACAO,1233.01900,1218.09180,,,1218.1038,III,
4739,39,MF0231000,PA,PA ABEL MOREIRA,3.00,30.00,30.00,BARRAGEM ENTREMONTES - A. REMANESCENTE,,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,SALGUEIRO,PARNAMIRIM,2610400,POR,23.00,2007/05/14,DOACAO,513.65250,513.65250,,,513.6568,III,
4727,56,MF0184000,PA,PA BOA VISTA,3.00,30.00,30.00,FAZENDA JACUIPE / RUMO TORTO,,MF,29,PE,NORDESTE,SERTAO PERNAMBUCANO,ARARIPINA,SANTA CRUZ,2612455,POR,25.00,2006/08/31,DESAPROPRIACAO,1233.79710,1233.79710,,,1233.8071,III,
